world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,see,Tomb of Nuri Shah,0.47,candidate,high-value type,,,Mount Girnar,asia/india/gujarat/junagadh/mount_girnar,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/maine/boothbay_harbor,Boothbay Harbor,Boothbay Harbor,5,14,do,Boothbay Railway Village,0.47,candidate,high-value type,,,Opera House at Boothbay Harbor,northamerica/unitedstates/maine/boothbay_harbor/opera_house,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boothbay_Harbor,candidate score 0.47 is below the 6.0 POI threshold
southamerica/argentina/rosario,Rosario,Rosario,7,25,see,Bolivia,0.47,candidate,high-value type,,,Parque de la Independencia,southamerica/argentina/rosario/parque_independencia,0.222,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rosario,candidate score 0.47 is below the 6.0 POI threshold
northamerica/panama/panamacity,Panama City,Panama City,10,65,see,Nicaragua,0.47,candidate,high-value type,,,Amador Causeway,northamerica/panama/panamacity/amador_causeway,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Panama_City,candidate score 0.47 is below the 6.0 POI threshold
southamerica/bolivia/laketiticaca,Lake Titicaca,Lake Titicaca,0,5,see,Isla Amantani,0.47,candidate,high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lake_Titicaca,candidate score 0.47 is below the 6.0 POI threshold
europe/spain/catalonia/terrassa,Terrassa,Terrassa,9,9,see,Center of medieval interpretation of the city of Terrassa,0.47,candidate,high-value type,,,Estadi Olímpic de Terrassa,europe/spain/catalonia/terrassa/estadi_olimpic,0.447,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Terrassa,candidate score 0.47 is below the 6.0 POI threshold
europe/germany/badenwrttemberg/lakeconstance,Lake Constance,Lake Constance,0,11,see,Romanshorn,0.47,candidate,high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lake_Constance,candidate score 0.47 is below the 6.0 POI threshold
asia/philippines/cebu/cebucity,Cebu City,Cebu City,11,73,see,Air Asia,0.47,candidate,high-value type,,,Carbon Market,asia/philippines/cebu/cebucity/carbon_market,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cebu_City,candidate score 0.47 is below the 6.0 POI threshold
europe/portugal/lagos,Lagos,Lagos (Portugal),0,22,see,Farol da Ponta da Piedade,0.47,candidate,high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lagos_%28Portugal%29,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/sumbawa,Sumbawa,Sumbawa,4,8,see,Jelanga,0.47,candidate,high-value type,,,Lakey Beach,asia/indonesia/sumbawa/lakey_beach,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sumbawa,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,see,Sudan,0.47,candidate,high-value type,,,Rideau Canal,northamerica/canada/ontario/ottawa/rideau_canal,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.47 is below the 6.0 POI threshold
