world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/india/uttarpradesh/lucknow,Lucknow,Lucknow,27,97,do,Lucknow Mahotsav,0.47,candidate,high-value type,,,Dilkusha Kothi,asia/india/uttarpradesh/lucknow/dilkusha_kothi,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lucknow,candidate score 0.47 is below the 6.0 POI threshold
europe/denmark/odense,Odense,Odense,21,43,see,Norway,0.47,candidate,high-value type,,,Danish Railway Museum,europe/denmark/odense/danish_railway_museum,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Odense,candidate score 0.47 is below the 6.0 POI threshold
europe/andorra/andorralavella,Andorra la Vella,Andorra la Vella,4,44,see,Portugal,0.47,candidate,high-value type,,,El Bon Racó,europe/andorra/food/el_bon_raco,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Andorra_la_Vella,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Bolivia,0.47,candidate,high-value type,,,Bolshoi Theatre,europe/russia/moscow/bolshoitheatre,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
asia/taiwan/taipei,Taipei,Taipei,105,91,see,Haiti,0.47,candidate,high-value type,,,Da'an District,asia/taiwan/taipei/daan,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Taipei,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/kaliningrad,Kaliningrad,Kaliningrad,9,42,see,Lithuania,0.47,candidate,high-value type,,,Kaliningrad Zoo,europe/russia/kaliningrad/kaliningrad_zoo,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kaliningrad,candidate score 0.47 is below the 6.0 POI threshold
asia/southkorea/seoul,Seoul,Seoul,48,86,see,Fire Department,0.47,candidate,high-value type,,,Namdaemun Market,asia/southkorea/seoul/namdaemun_market,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Seoul,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/veneto/venice,Venice,Venice,51,53,see,Lithuania,0.47,candidate,high-value type,,,I Tre Mercanti,europe/italy/veneto/venice/i_tre_mercanti,0.435,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Venice,candidate score 0.47 is below the 6.0 POI threshold
europe/spain/galicia/vigo,Vigo,Vigo,15,32,see,Monte da Guía,0.47,candidate,high-value type,,,Museo do Mar de Galicia,europe/spain/galicia/vigo/museo_do_mar,0.452,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vigo,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/lazio/lakebracciano,Lake Bracciano,Lake Bracciano,0,47,see,Monterano,0.47,candidate,high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lake_Bracciano,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Sierra Leone,0.47,candidate,high-value type,,,The Opera Club,europe/russia/moscow/the_opera_club,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,see,Zibo Public Service,0.47,candidate,high-value type,,,Zibo Barbecue,asia/china/shandong_province/zibo/zibo_barbecue,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zibo,candidate score 0.47 is below the 6.0 POI threshold
europe/denmark/aarhus,Aarhus,Aarhus,12,232,see,Chile,0.47,candidate,high-value type,,,Cirkuskroen,europe/denmark/aarhus/cirkuskroen,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Aarhus,candidate score 0.47 is below the 6.0 POI threshold
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Belarus,0.47,candidate,high-value type,,,Berzelii Park,europe/sweden/stockholm/berzeliipark,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Stockholm,candidate score 0.47 is below the 6.0 POI threshold
northamerica/canada/ontario/toronto,Toronto,Toronto,48,131,see,Nepal,0.47,candidate,high-value type,,,The Annex,northamerica/canada/ontario/toronto/the_annex,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Toronto,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/penang,Penang,Penang,10,9,see,Telegram service,0.47,candidate,high-value type,,,Kek Lok Si Temple,asia/malaysia/penang/kek_lok_si,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Penang,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,see,Police,0.47,candidate,high-value type,,,House of Sampoerna,asia/indonesia/java/surabaya/house_of_sampoerna,0.25,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Surabaya,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,see,Game studio,0.47,candidate,high-value type,,,Khabarovsk Railway Station,europe/russia/khabarovsk/transsiberian_railway_station,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khabarovsk,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/solo,Solo,Solo,20,80,see,RS Dr. Oen I,0.47,candidate,high-value type,,,Pasar Gede,asia/indonesia/java/solo/pasar_gede,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Solo,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/campania/naples,Naples,Naples,50,160,see,Iceland,0.47,candidate,high-value type,,,Marinella,europe/italy/campania/naples/marinella,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Naples,candidate score 0.47 is below the 6.0 POI threshold
asia/turkey/van,Van,Van,12,21,see,Meher Kapı,0.47,candidate,high-value type,,,Mount Erek,asia/turkey/van/mount_erek,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Van,candidate score 0.47 is below the 6.0 POI threshold
asia/turkey/erzincan,Erzincan,Erzincan,7,12,see,Ekşisu,0.47,candidate,high-value type,,,Kemaliye (Eğin),asia/turkey/erzincan/kemaliye,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Erzincan,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/abruzzo/chieti,Chieti,Chieti,7,22,do,Nativity play,0.47,candidate,high-value type,,,Roman Temples,europe/italy/abruzzo/chieti/roman_temples,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chieti,candidate score 0.47 is below the 6.0 POI threshold
asia/china/jilin/baishan,Baishan,Baishan,4,14,see,Lushuihe International Hunting Field,0.47,candidate,high-value type,,,Beishan Ski Field,asia/china/jilin/baishan/beishan_ski_field,0.453,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baishan,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Chile,0.47,candidate,high-value type,,,Cathedral of Vasily the Blessed,europe/russia/moscow/cathedral_of_vasil,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
asia/southkorea/seoul,Seoul,Seoul,48,86,see,Laos,0.47,candidate,high-value type,,,Namsan,asia/southkorea/seoul/namsan,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Seoul,candidate score 0.47 is below the 6.0 POI threshold
africa/capeverde/saotiago/praia,Praia,Praia,9,65,see,Pakistan,0.47,candidate,high-value type,,,Platô,africa/capeverde/saotiago/praia/plato,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Praia,candidate score 0.47 is below the 6.0 POI threshold
africa/namibia/windhoek,Windhoek,Windhoek,18,43,see,Lima Transfers,0.47,candidate,high-value type,,,Alte Feste,africa/namibia/windhoek/alte_feste,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Windhoek,candidate score 0.47 is below the 6.0 POI threshold
asia/philippines/rizal,Rizal,Rizal,10,13,see,Taytay,0.47,candidate,high-value type,,,Hinulugang Taktak,asia/philippines/rizal/hinulugang_taktak,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rizal,candidate score 0.47 is below the 6.0 POI threshold
africa/tunisia/tunis,Tunis,Tunis,17,51,see,Serbia,0.47,candidate,high-value type,,,Central Market (Marché Central),africa/tunisia/tunis/central_market,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tunis,candidate score 0.47 is below the 6.0 POI threshold
australiaandpacific/newzealand/palmerstonnorth,Palmerston North,Palmerston North,13,32,see,Visitor Information Center,0.47,candidate,high-value type,,,Victoria Esplanade,australiaandpacific/newzealand/palmerstonnorth/victoria_esplanade,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Palmerston_North,candidate score 0.47 is below the 6.0 POI threshold
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Belarus,0.47,candidate,high-value type,,,Dining Near the Sights,asia/turkmenistan/ashgabat/carpet_museum_cafe,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat,candidate score 0.47 is below the 6.0 POI threshold
