world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/iran/tehran,Tehran,Tehran,44,119,see,Serbia,0.47,candidate,high-value type,,,Darband,asia/iran/tehran/darband,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tehran,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/sicily/caltabellotta,Caltabellotta,Caltabellotta,2,20,see,Sacrificial altar of the god Kronos,0.47,candidate,high-value type,,,Santuario di San Pellegrino,europe/italy/sicily/caltabellotta/santuario_san_pellegrino,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Caltabellotta,candidate score 0.47 is below the 6.0 POI threshold
australiaandpacific/australia/victoria/ballarat,Ballarat,Ballarat,17,43,see,Welcome Nugget – Bicycles for Hire,0.47,candidate,high-value type,,,Ballarat Botanical Gardens,australiaandpacific/australia/victoria/ballarat/botanical_gardens,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ballarat,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,Norway (Honorary),0.47,candidate,high-value type,,,Fenway Park,northamerica/unitedstates/massachusetts/boston/fenway_park,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boston,candidate score 0.47 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Nepal,0.47,candidate,high-value type,,,The Opera Club,europe/russia/moscow/the_opera_club,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/maryland/college_park,College Park,College Park (Maryland),1,37,do,Duvall Field Playground,0.47,candidate,high-value type,,,Cornerstone Grill and Loft,northamerica/unitedstates/maryland/college_park/cornerstone_grill,0.245,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/College_Park_%28Maryland%29,candidate score 0.47 is below the 6.0 POI threshold
europe/germany/hessen/wiesbaden,Wiesbaden,Wiesbaden,16,66,do,Amelia Earhart Playhouse,0.47,candidate,high-value type,,,Wiesbaden City Palace (Stadtschloss),europe/germany/hessen/wiesbaden/stadtschloss,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wiesbaden,candidate score 0.47 is below the 6.0 POI threshold
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,West Semarang,0.47,candidate,high-value type,,,Kota Lama,asia/indonesia/java/semarang/kota_lama,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Semarang,candidate score 0.47 is below the 6.0 POI threshold
asia/vietnam/danang,Da Nang,Da Nang,4,80,see,Thanh Khe District,0.47,candidate,high-value type,,,"Lady Buddha, Son Tra",asia/vietnam/danang/lady_buddha,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Da_Nang,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/breckenridge,Breckenridge,Breckenridge (Colorado),15,40,see,14'ers,0.47,candidate,high-value type,,,Edwin Carter Museum,northamerica/unitedstates/colorado/breckenridge/edwin_carter_museum,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Breckenridge_%28Colorado%29,candidate score 0.47 is below the 6.0 POI threshold
asia/india/kerala/kochi,Kochi,Kochi,11,29,see,On-Road Accident Emergency Care Force,0.47,candidate,high-value type,,,Kashi Art Cafe,asia/india/kerala/kochi/kashi_art_cafe,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kochi,candidate score 0.47 is below the 6.0 POI threshold
europe/hungary/budapest,Budapest,Budapest,57,94,see,Ambulance,0.47,candidate,high-value type,,,Gresham Palace,europe/hungary/budapest/gresham_palace,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Budapest,candidate score 0.47 is below the 6.0 POI threshold
