town,poi_path,provider,phone,email,url,whatsapp,confirm_code,confirm_link,emailed,confirmed
arcachon,europe/france/aquitaine/arcachon/arcachon_kayak_aventure,Arcachon Kayak Aventure,+33 6 25 08 44 37,contact@arcachonkayak.com,arcachonkayak.com,,W66-ARCACHON-ARCACHON-KAYA-C3A2,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-ARCACHON-KAYA-C3A2,,
arcachon,europe/france/aquitaine/arcachon/cap_114,Cap 114,+33 5 40 25 14 55,cap114.beacher@gmail.com,cap114.fr,,W66-ARCACHON-CAP-114-B629,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-CAP-114-B629,,
arcachon,europe/france/aquitaine/arcachon/cercle_de_la_voile_darcachon,Cercle de la Voile d'Arcachon,+33 5 56 83 05 92,contact@voile-arcachon.org,voile-arcachon.fr,,W66-ARCACHON-CERCLE-DE-LA-39DF,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-CERCLE-DE-LA-39DF,,
arcachon,europe/france/aquitaine/arcachon/its_on_surf_school,It's On Surf School,+33 6 75 38 70 49,itson.surf@gmail.com,itsonsurf-arcachon.com,,W66-ARCACHON-ITS-ON-SURF-S-5CCF,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-ITS-ON-SURF-S-5CCF,,
arcachon,europe/france/aquitaine/arcachon/ocean_roots,Ocean Roots,+33 6 62 26 04 11,,oceanroots.com,,W66-ARCACHON-OCEAN-ROOTS-F50F,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-OCEAN-ROOTS-F50F,,
arcachon,europe/france/aquitaine/arcachon/pinasse_freebay,Pinasse FreeBay,+33 6 79 78 86 05,,pinasse-freebay.fr,,W66-ARCACHON-PINASSE-FREEB-3979,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-PINASSE-FREEB-3979,,
arcachon,europe/france/aquitaine/arcachon/pyla_surf_school,Pyla Surf School,+33 6 47 40 16 81,,pylasurfschool.com,,W66-ARCACHON-PYLA-SURF-SCH-1A72,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-PYLA-SURF-SCH-1A72,,
arcachon,europe/france/aquitaine/arcachon/teich_reserve_guided_walks,Le Teich Reserve — Guided Walks,+33 5 24 73 37 33,aj.cazabeil@parc-landes-de-gascogne.fr,reserve-ornithologique-du-teich.com,,W66-ARCACHON-TEICH-RESERVE-8487,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-TEICH-RESERVE-8487,,
arcachon,europe/france/aquitaine/arcachon/union_des_bateliers_arcachonnais,Union des Bateliers Arcachonnais,+33 5 57 72 28 28,,bateliers-arcachon.com,,W66-ARCACHON-UNION-DES-BAT-E6C6,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ARCACHON-UNION-DES-BAT-E6C6,,
bidart,europe/france/aquitaine/bidart/ocean_adventure_surf_school,Ocean Adventure Surf School,+33 7 83 88 57 70,,oceanadventure.surf,+33 7 83 88 57 70,W66-BIDART-OCEAN-ADVENTURE-AC5A,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-BIDART-OCEAN-ADVENTURE-AC5A,,
hossegor,europe/france/aquitaine/hossegor/yosurf_school,Yosurf School,+33 6 88 79 17 31,parnetyo@yahoo.fr,hossegor-surf.fr,+33 6 88 79 17 31,W66-HOSSEGOR-YOSURF-SCHOOL-E54C,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-HOSSEGOR-YOSURF-SCHOOL-E54C,,
cayeux_sur_mer,europe/france/nord/cayeux_sur_mer/decouvrons_la_baie_de_somme,Découvrons la Baie de Somme,+33 6 83 72 02 83,contact@traversee-baiedesomme.com,www.traversee-baiedesomme.com,,W66-CAYEUX-SUR-MER-DECOUVR-DFF7,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-CAYEUX-SUR-MER-DECOUVR-DFF7,,
le_crotoy,europe/france/nord/le_crotoy/les_bateaux_de_la_baie_le_crotoy,Les Bateaux de la Baie — Le Crotoy,+33 3 22 60 74 68,,www.bateau-baie-somme.com,,W66-LE-CROTOY-LES-BATEAUX-7A33,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-LE-CROTOY-LES-BATEAUX-7A33,,
le_crotoy,europe/france/nord/le_crotoy/parc_du_marquenterre,Parc du Marquenterre,+33 3 22 25 68 99,,www.parcdumarquenterre.fr,,W66-LE-CROTOY-PARC-DU-MARQ-7CD6,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-LE-CROTOY-PARC-DU-MARQ-7CD6,,
le_touquet,europe/france/nord/le_touquet/cote_dopale_surfing,Côte d'Opale Surfing,+33 6 02 39 01 25,opalesurfing@gmail.com,www.opalesurfing.com,,W66-LE-TOUQUET-COTE-DOPALE-8792,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-LE-TOUQUET-COTE-DOPALE-8792,,
st_valery_sur_somme,europe/france/nord/st_valery_sur_somme/les_bateaux_de_la_baie,Les Bateaux de la Baie,+33 3 22 60 74 68,,www.bateau-baie-somme.com,,W66-ST-VALERY-SUR-SOMME-LE-29FD,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ST-VALERY-SUR-SOMME-LE-29FD,,
st_valery_sur_somme,europe/france/nord/st_valery_sur_somme/pinasses_de_la_baie,Pinasses de la Baie,+33 7 66 48 14 28,louis@pinassesdelabaie.fr,pinassesdelabaie.fr,,W66-ST-VALERY-SUR-SOMME-PI-F3B8,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ST-VALERY-SUR-SOMME-PI-F3B8,,
st_valery_sur_somme,europe/france/nord/st_valery_sur_somme/rando_nature_en_somme,Rando-Nature en Somme,+33 3 22 26 92 30,,www.randonature-baiedesomme.com,,W66-ST-VALERY-SUR-SOMME-RA-A854,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-ST-VALERY-SUR-SOMME-RA-A854,,
wissant,europe/france/nord/wissant/ecole_de_surf_du_nord,École de Surf du Nord,+33 6 21 89 43 94,ecolesurfnord@gmail.com,www.ecolesurfnord.fr,,W66-WISSANT-ECOLE-DE-SURF-4E00,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-WISSANT-ECOLE-DE-SURF-4E00,,
wissant,europe/france/nord/wissant/wimkite_school,Wimkite School,+33 6 81 76 82 05,ecolewimkite@gmail.com,www.wimkite.com,,W66-WISSANT-WIMKITE-SCHOOL-B525,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-WISSANT-WIMKITE-SCHOOL-B525,,
bigi_pan,southamerica/suriname/bigi_pan/black_eagle_tours,Black Eagle Tours,+597 853 7203,contact@blackeagletours.com,blackeagletours.com,+597 853 7203,W66-BIGI-PAN-BLACK-EAGLE-T-9812,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-BIGI-PAN-BLACK-EAGLE-T-9812,,
paramaribo,southamerica/suriname/paramaribo/all_suriname_tours,All Suriname Tours,+597 470 675,info@allsurinametours.com,allsurinametours.com,+597 841 1055,W66-PARAMARIBO-ALL-SURINAM-32C0,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-PARAMARIBO-ALL-SURINAM-32C0,,
paramaribo,southamerica/suriname/paramaribo/cardy_adventures,Cardy Adventures,+597 878 2968,info@cardyadventures.com,cardyadventures.com,+597 878 2968,W66-PARAMARIBO-CARDY-ADVEN-2DA3,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-PARAMARIBO-CARDY-ADVEN-2DA3,,
paramaribo,southamerica/suriname/paramaribo/jenny_tours,Jenny Tours,+597 885 8495,jennytourssuriname@gmail.com,suriname-tour.com,+597 885 8495,W66-PARAMARIBO-JENNY-TOURS-58DE,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-PARAMARIBO-JENNY-TOURS-58DE,,
paramaribo,southamerica/suriname/paramaribo/orange_travel,Orange Travel,+597 421984,info@orangesuriname.com,orangesuriname.com,,W66-PARAMARIBO-ORANGE-TRAV-3AEC,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-PARAMARIBO-ORANGE-TRAV-3AEC,,
paramaribo,southamerica/suriname/paramaribo/suforyou,SUforYou,+597 421157,info@suforyou.nl,suforyou.nl,+597 421157,W66-PARAMARIBO-SUFORYOU-1BF9,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-PARAMARIBO-SUFORYOU-1BF9,,
upper_suriname_river,southamerica/suriname/upper_suriname_river/knini_paati,Knini Paati River Resort,+597 856 8332,,knini-paati.com,+597 856 8332,W66-UPPER-SURINAME-RIVER-K-BDFE,https://wa.me/<W66_WHATSAPP>?text=CONFIRM%20W66-UPPER-SURINAME-RIVER-K-BDFE,,
