## Non-city leaf locations identified by the 20-agent audit of cities.txt.
## Format: <path>\t<loc_type>\t<reason>
## loc_type is one of: region, feature, neighbourhood.
## Anything not listed defaults to loc_type: city in classify_leaves.py.
##
## Features: national parks, lakes, mountains, rivers, monuments,
## archaeological sites, theme parks, single attractions.
## Regions: states, counties, provinces, administrative regions,
## multi-town geographic zones.
## Neighbourhoods: districts inside cities (loc_type for now; full
## conversion to type: neighbourhood is a separate task).

# --- Features: National parks and reserves ---
africa/kenya/nationalparksandreserves/tsavonp/tsavowest	feature	national park
africa/kenya/nationalparksandreserves/tsavonp/tsavoeast	feature	national park
africa/kenya/nationalparksandreserves/aberdarenp	feature	national park
africa/kenya/nationalparksandreserves/amobselinp	feature	Amboseli National Park
africa/kenya/nationalparksandreserves/hellsgatenp	feature	national park
africa/kenya/nationalparksandreserves/lakenakurunp	feature	Lake Nakuru NP
africa/southafrica/addo_elephant_national_park	feature	Addo Elephant National Park
africa/southafrica/cederberg_wilderness_area	feature	Cederberg Wilderness Area
africa/madagascar/isalo	feature	Isalo National Park
africa/tanzania/udzungwa_national_park	feature	Udzungwa National Park
africa/tanzania/ruaha_national_park	feature	Ruaha National Park
asia/india/assam/kaziranga	feature	Kaziranga National Park
asia/india/uttaranchal/corbett_national_park	feature	Corbett National Park
asia/srilanka/tissamaharama/yala_national_park	feature	Yala National Park
australiaandpacific/australia/queensland/nationalparks	feature	national parks overview page
europe/estonia/vilsandi_national_park	feature	Vilsandi National Park
europe/estonia/karula_national_park	feature	Karula National Park
europe/italy/lazio/ciceo_national_par	feature	Circeo National Park
europe/italy/sicily/mount_etna_park	feature	Etna Regional Park
europe/latvia/gauja_national_park	feature	Gauja National Park
europe/spain/aragon/ordesa_national_park	feature	Ordesa National Park
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/peak_district	feature	national park
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/north_york_moors	feature	national park
northamerica/canada/algonquin_park	feature	provincial park
northamerica/unitedstates/alaska/denali_national_park_and_preserve	feature	Denali National Park
northamerica/unitedstates/arizona/grandcanyon	feature	national park
northamerica/unitedstates/arizona/organ_pipe_cactus_national_monument	feature	national monument
northamerica/unitedstates/california/deserts/deathvalley	feature	national park
northamerica/unitedstates/california/highsierra/yosemite	feature	national park
northamerica/unitedstates/california/highsierra/kingscanyon	feature	national park
northamerica/unitedstates/florida/everglades	feature	national park
northamerica/unitedstates/florida/merritt_island_national_wildlife_refuge	feature	Merritt Island National Wildlife Refuge
northamerica/unitedstates/maine/acadia	feature	national park
northamerica/unitedstates/minnesota/voyageurs	feature	national park
northamerica/unitedstates/minnesota/itascastatepark	feature	state park
northamerica/unitedstates/montana/glaciernp	feature	Glacier National Park
northamerica/unitedstates/montana/littlebighorn	feature	battlefield monument
northamerica/unitedstates/newmexico/whitesands	feature	national park
northamerica/unitedstates/northcarolina/capelookout	feature	national seashore
northamerica/unitedstates/southdakota/mountrushmore	feature	national memorial
northamerica/unitedstates/utah/bryce_canyon	feature	national park
northamerica/unitedstates/utah/glencanyon	feature	national recreation area
northamerica/unitedstates/washington/northcascadesnp	feature	national park
northamerica/unitedstates/wyoming/yellowstone	feature	national park
northamerica/unitedstates/wyoming/devilstower	feature	national monument
southamerica/brazil/ja_nacional_park	feature	Jaú National Park

# --- Features: Lakes ---
africa/chad/lakechad	feature	lake
africa/ghana/lakevolta	feature	lake
africa/kenya/lakes/lakevictoria	feature	lake
africa/kenya/lakes/lakebaringo	feature	lake
asia/iran/lake_urmia	feature	lake
asia/kazakhstan/lakemarkakol	feature	lake
asia/kyrgyzstan/lakeissykkul	feature	lake
asia/pakistan/hunzavalley/gojal_valley/hussaini_sisuni/borit_lake	feature	lake
europe/germany/badenwrttemberg/lakeconstance	feature	lake
europe/iceland/lakemyvatn	feature	lake
europe/italy/lazio/lakebracciano	feature	lake
europe/romania/snagovlake	feature	lake
northamerica/unitedstates/georgia/lake_burton	feature	lake
northamerica/unitedstates/newhampshire/lakes	feature	lakes region overview

# --- Features: Mountains and ranges ---
africa/tanzania/kilimanjaro	feature	mountain
asia/china/jinggangshan	feature	mountainous revolutionary area
asia/japan/honshu/mount_fuji	feature	mountain
europe/france/midi/pyrenees/pic_carlit	feature	mountain peak
europe/france/midi/languedoc/hautlanguedoc_reg/monts_de_lespinouse	feature	mountain range
europe/germany/badenwrttemberg/blackforest	feature	forest/mountain region
europe/germany/lowersaxony/harz_mountains	feature	mountain range
europe/italy/calabria/la_sila	feature	mountain plateau
europe/spain/galicia/mount_santa_tecla	feature	mountain with ruins
europe/unitedkingdom/scotland/torridonian_highlands	feature	Torridonian Highlands
northamerica/unitedstates/california/shastacascade/mountshasta	feature	mountain
northamerica/unitedstates/newhampshire/whitemountains	feature	mountain range
southamerica/argentina/sierras_de_crdob	feature	Sierras de Córdoba mountain range

# --- Features: Rivers, waterfalls, gorges, caves ---
asia/india/maharashtra/ajanta_caves	feature	rock-cut caves
europe/bosniaandherzegovina/neretva_river_1	feature	river
europe/italy/sicily/alcantara_gorges	feature	gorge
europe/slovenia/postojnacaves	feature	cave system
